network,req_nodes,avg_nodes,agreed,total,percent,avg_1st_agree,size,comment
320x24.J13-swa-390000,10000,7363,65919,100000,65.919,356.054,320x24,
320x24.T13-swa-360000,10000,7368,65906,100000,65.906,361.397,320x24,
320x24.T13-swa-273000,10000,7371,65797,100000,65.797,366.603,320x24,
256x20.T8-swa-610000,10000,7376,65716,100000,65.716,383.806,256x20,#TCEC SuFi 15 net
weights_run1_42810.pb.gz,10000,7365,65679,100000,65.679,376.01,256x20,
weights_run1_49904.pb.gz,10000,7405,65584,100000,65.584,321.469,256x20,
jj-9-swa-19240000.pb.gz,10000,7381,65587,100000,65.587,357.284,256x20,
jj-9-swa-16500000.pb.gz,10000,7389,65536,100000,65.536,362.682,256x20,
weights_run1_42737.pb.gz,10000,7358,65517,100000,65.517,373.67,256x20,
weights_run1_42750.pb.gz,10000,7376,65443,100000,65.443,375.111,256x20,
weights_run1_42703.pb.gz,10000,7303,65437,100000,65.437,351.496,256x20,
weights_run1_42547.pb.gz,10000,7364,65429,100000,65.429,372.894,256x20,
JH.T6.532.pb.gz,10000,7379,65420,100000,65.42,388.878,256x20,
weights_run1_42482.pb.gz,10000,7371,65390,100000,65.39,377.853,256x20,
weights_run1_42633.pb.gz,10000,7373,65356,100000,65.356,369.568,256x20,
weights_run1_42504.pb.gz,10000,7389,65339,100000,65.339,374.217,256x20,
jj-9-swa-13760000.pb.gz,10000,7398,65313,100000,65.313,365.806,256x20,
weights_run3_49917.pb.gz,10000,7417,65221,100000,65.221,378.912,256x20,
weights_run1_42282.pb.gz,10000,7378,65205,100000,65.205,381.015,256x20,
weights_run1_41800.pb.gz,10000,7385,65139,100000,65.139,383.914,256x20,
weights_run2_32930.pb.gz,10000,7371,64028,100000,64.028,384.083,256x20,#TCEC SuFi 14 net
weights_run1_11248.pb.gz,10000,7481,63465,100000,63.465,404.904,256x20,#See below also
LD2,10000,7446,61198,100000,61.198,408.693,128x10,#See below also
weights_run2_50778.pb.gz,10000,7548,59757,100000,59.757,418.227,128x10,
,,,,,,,,
jj-9-swa-22000000.pb.gz,20000,14527,67235,100000,67.235,549.734,256x20,#policy 2.2 default
jj-9-swa-22000000.pb.gz,20000,14539,67134,100000,67.134,554.15,256x20,#policy 2
jj-9-swa-22000000.pb.gz,20000,14600,67062,100000,67.062,554.862,256x20,#cpuct 3.4
jj-9-swa-19250000.pb.gz,20000,14558,67045,100000,67.045,572.055,256x20,#No TP
jj-9-swa-22000000.pb.gz,20000,14477,67031,100000,67.031,545.225,256x20,#policy 2.4
jj-9-swa-19240000.pb.gz,20000,14552,67009,100000,67.009,556.984,256x20,#No TP
jj-9-swa-19240000.pb.gz,20000,14613,66976,100000,66.976,561.146,256x20,#Trade penalty
jj-9-swa-19250000.pb.gz,20000,14622,66943,100000,66.943,571.862,256x20,#Trade penalty
jj-9-19250000.pb.gz,20000,14619,66938,100000,66.938,565.409,256x20,#Trade penalty
jj-9-19240000.pb.gz,20000,14614,66937,100000,66.937,558.254,256x20,#Trade penalty
jj-9-swa-16500000.pb.gz,20000,14623,66801,100000,66.801,583.725,256x20,#Trade penalty
192x16.J20-swa-440000,20000,14129,66105,100000,66.105,658.182,192x16,
192x16.T20-swa-400000,20000,14145,65888,100000,65.888,672.856,192x16,
weights_run1_11248.pb.gz,20000,14253,64975,100000,64.975,676.395,256x20,#Extra nodes
,,,,,,,,
LD2.pb.gz,50000,33642,64653,100000,64.653,1439.554,128x10,#Extra nodes
,,,,,,,,
weights_run2_50778.pb.gz,100000,66206,65219,100000,65.219,2572.708,128x10,
weights_run2_51458.pb.gz,100000,64576,64489,100000,64.489,2479.869,128x10,
weights_run2_52377.pb.gz,100000,64677,64429,100000,64.429,2504.57,128x10,
weights_run2_53316.pb.gz,100000,64899,63957,100000,63.957,2540.75,128x10,
32930-112x9-se.pb.gz,100000,65846,63555,100000,63.555,2675.032,112x9,#dkappe distilled
11258-112x9-se.pb.gz,100000,66412,63510,100000,63.51,2605.781,112x9,#dkappe distilled
weights_run2_54255.pb.gz,100000,65887,62926,100000,62.926,2551.73,128x10,
